Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
HEAL8,Heuchera alba,white alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAL4,Heuchera alpestris,San Bernardino Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAM6,Heuchera americana,American alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAMA2,Heuchera americana var. americana,American alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAMH,Heuchera americana var. hirsuticaulis,American alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAMH2,Heuchera americana var. hispida,American alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEBR2,Heuchera bracteata,bracted alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEBR3,Heuchera brevistaminea,Laguna Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECA36,Heuchera caespitosa,tufted alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECA23,Heuchera caroliniana,Carolina alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECH,Heuchera chlorantha,tall alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECU8,Heuchera ×cuneata,alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECY2,Heuchera cylindrica,roundleaf alumroot,Spring and Summer,Rapid,,6,Short,None,Rounded,None,High,Low,7,8,,,10,35,6,None,Intermediate,-13,Mid Spring,Summer,Fall,No,No,Medium
HECYA,Heuchera cylindrica var. alpina,alpine alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECYC,Heuchera cylindrica var. cylindrica,roundleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECYG,Heuchera cylindrica var. glabella,beautiful alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECYO,Heuchera cylindrica var. orbicularis,poker alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECYS,Heuchera cylindrica var. septentrionalis,roundleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEDU3,Heuchera duranii,hard alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEEA,Heuchera eastwoodiae,Senator Mine alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEEL2,Heuchera elegans,urnflower alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEFL14,Heuchera flabellifolia,Bridger Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEFLF,Heuchera flabellifolia var. flabellifolia,Bridger Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEFLS,Heuchera flabellifolia var. subsecta,Bridger Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGL5,Heuchera glabra,alpine heuchera,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGL6,Heuchera glomerulata,Chiricahua Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGR8,Heuchera grossulariifolia,gooseberryleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGRG,Heuchera grossulariifolia var. grossulariifolia,gooseberryleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGRT,Heuchera grossulariifolia var. tenuifolia,gooseberryleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEHA2,Heuchera hallii,Front Range alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEHI4,Heuchera hirsutissima,shaggyhair alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HELO5,Heuchera longiflora,longflower alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMA4,Heuchera maxima,Jill of the rocks,,,,,,,,,,,,,,,,,,,,,,,,,,
HEME2,Heuchera merriamii,Merriam's alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMI7,Heuchera micrantha,crevice alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMID2,Heuchera micrantha var. diversifolia,crevice alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMIE2,Heuchera micrantha var. erubescens,crevice alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMIH,Heuchera micrantha var. hartwegii,Hartweg's alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMIM4,Heuchera micrantha var. macropetala,crevice alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMIM2,Heuchera micrantha var. micrantha,crevice alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HENO,Heuchera novomexicana,New Mexico alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPA9,Heuchera parishii,Mill Creek alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPA10,Heuchera parviflora,littleflower alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAP4,Heuchera parviflora var. parviflora,littleflower alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAP5,Heuchera parviflora var. puberula,littleflower alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPA11,Heuchera parvifolia,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAA,Heuchera parvifolia var. arizonica,Arizona alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAF,Heuchera parvifolia var. flavescens,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAM,Heuchera parvifolia var. major,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAM2,Heuchera parvifolia var. microcarpa,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAN,Heuchera parvifolia var. nivalis,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAP6,Heuchera parvifolia var. parvifolia,littleleaf alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPAU,Heuchera parvifolia var. utahensis,Utah alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPI3,Heuchera pilosissima,seaside alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPIH,Heuchera pilosissima var. hemisphaerica,seaside alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPIP,Heuchera pilosissima var. pilosissima,seaside alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPU7,Heuchera pubescens,downy alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEPU10,Heuchera pulchella,Sandia Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERI,Heuchera richardsonii,Richardson's alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERU,Heuchera rubescens,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUA,Heuchera rubescens var. alpicola,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUG,Heuchera rubescens var. glandulosa,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUR2,Heuchera rubescens var. rubescens,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUR,Heuchera rubescens var. rydbergiana,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUT,Heuchera rubescens var. truncata,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERUV,Heuchera rubescens var. versicolor,pink alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HESA3,Heuchera sanguinea,coralbells,"Spring, Summer, Fall",Moderate,,1.5,Long,None,Semi-Erect,None,Low,Medium,5.2,8,2700,11000,12,55,10,None,Intermediate,-23,Mid Spring,Summer,Fall,No,No,
HESAP,Heuchera sanguinea var. pulchra,coralbells,,,,,,,,,,,,,,,,,,,,,,,,,,
HESAS,Heuchera sanguinea var. sanguinea,coralbells,,,,,,,,,,,,,,,,,,,,,,,,,,
HEVI2,Heuchera villosa,hairy alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEVIA,Heuchera villosa var. arkansana,Arkansas alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEVIV2,Heuchera villosa var. villosa,hairy alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEWO2,Heuchera woodsiaphila,Capitan Mountains alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEWO,Heuchera wootonii,White Mountain alumroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEVEA,Hevea,hevea,,,,,,,,,,,,,,,,,,,,,,,,,,
HEBE2,Hevea benthamiana,Bentham's hevea,,,,,,,,,,,,,,,,,,,,,,,,,,
HEBR8,Hevea brasiliensis,rubber tree,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXAL,Hexalectris,crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAR23,Hexalectris arizonica,spiked crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO18,Hexalectris colemanii,Coleman's crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEGR9,Hexalectris grandiflora,largeflower crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HENI2,Hexalectris nitida,Glass Mountain crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HERE2,Hexalectris revoluta,Chisos Mountain crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HESP3,Hexalectris spicata,spiked crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HESPS3,Hexalectris spicata var. spicata,spiked crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEWA,Hexalectris warnockii,Texas crested coralroot,,,,,,,,,,,,,,,,,,,,,,,,,,
HEXAS,Hexastylis,heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HEAR6,Hexastylis arifolia,littlebrownjug,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARA,Hexastylis arifolia var. arifolia,littlebrownjug,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARC,Hexastylis arifolia var. callifolia,littlebrownjug,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARR,Hexastylis arifolia var. ruthii,Ruth's littlebrownjug,,,,,,,,,,,,,,,,,,,,,,,,,,
HECO19,Hexastylis contracta,mountain heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HEHE12,Hexastylis heterophylla,variableleaf heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HELE2,Hexastylis lewisii,Lewis' heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HEMI13,Hexastylis minor,little heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HENA3,Hexastylis naniflora,dwarfflower heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HERH,Hexastylis rhombiformis,North Fork heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HESH2,Hexastylis shuttleworthii,largeflower heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HESHH,Hexastylis shuttleworthii var. harperi,largeflower heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HESHS,Hexastylis shuttleworthii var. shuttleworthii,largeflower heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HESO5,Hexastylis sorriei,Sorrie's heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HESP4,Hexastylis speciosa,Harper's heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HEVI3,Hexastylis virginica,Virginia heartleaf,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBIS,Hibiscadelphus,hibiscadelphus,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBO2,Hibiscadelphus bombycinus,hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HICR,Hibiscadelphus crucibracteatus,lava hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDI,Hibiscadelphus distans,Kauai hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGI,Hibiscadelphus giffardianus,Kilauea hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIHU,Hibiscadelphus hualalaiensis,Hualalai hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPU2,Hibiscadelphus ×puakuahiwi,hibiscadelphus,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST2,Hibiscadelphus stellatus,stellar hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIWI,Hibiscadelphus wilderianus,Maui hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIWO,Hibiscadelphus woodii,Wood's hau kuahiwi,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBIS2,Hibiscus,rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAC3,Hibiscus acetosella,African rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAC,Hibiscus aculeatus,comfortroot,Summer,Rapid,,3,Short,None,Erect,High,Medium,Medium,6,8.5,640,2560,30,160,12,None,Intolerant,15,Summer,Summer,Fall,No,Yes,Medium
HIAR5,Hibiscus archeri,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAR,Hibiscus arnottianus,white rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIARA2,Hibiscus arnottianus ssp. arnottianus,white rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIARI,Hibiscus arnottianus ssp. immaculatus,white rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIARP3,Hibiscus arnottianus ssp. punaluuensis,punaluu rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBI2,Hibiscus bifurcatus,fork-bracted rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBI,Hibiscus biseptus,Arizona rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBR,Hibiscus brackenridgei,Brackenridge's rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBRB,Hibiscus brackenridgei ssp. brackenridgei,Brackenridge's rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBRM,Hibiscus brackenridgei ssp. mokuleianus,Mokulei rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBRM3,Hibiscus brackenridgei ssp. molokaianus,Brackenridge's rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HICA6,Hibiscus calyphyllus,lemonyellow rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HICA5,Hibiscus cannabinus,brown Indianhemp,,,,,,,,,,,,,,,,,,,,,,,,,,
HICL,Hibiscus clayi,red Kauai rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HICL2,Hibiscus clypeatus,Congo mahoe,,,,,,,,,,,,,,,,,,,,,,,,,,
HICO2,Hibiscus coccineus,scarlet rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HICO,Hibiscus coulteri,desert rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDA,Hibiscus dasycalyx,Neches River rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIDE,Hibiscus denudatus,paleface,,,,,,,,,,,,,,,,,,,,,,,,,,
HIEL,Hibiscus elatus,mahoe,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFU,Hibiscus furcellatus,lindenleaf rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFUY,Hibiscus furcellatus var. youngianus,lindenleaf rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR4,Hibiscus grandiflorus,swamp rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKO,Hibiscus kokio,red rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKOK,Hibiscus kokio ssp. kokio,red rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKOS,Hibiscus kokio ssp. saintjohnianus,St. John's rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HILA2,Hibiscus laevis,halberdleaf rosemallow,"Spring, Summer, Fall",Moderate,,8,Moderate,None,Erect,High,Low,High,5.5,7.2,1700,2700,32,60,12,None,Intermediate,-13,Mid Summer,Summer,Fall,No,No,Low
HILA6,Hibiscus lasiocarpos,rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HILU,Hibiscus lunariifolius,hibiscus,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMA5,Hibiscus macrophyllus,largeleaf rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMA6,Hibiscus martianus,heartleaf rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMO,Hibiscus moscheutos,crimsoneyed rosemallow,Spring,Rapid,,6.6,Moderate,None,Erect,High,None,High,4,7.5,2728,3450,35,65,10,Low,Intolerant,-13,Summer,Summer,Fall,No,No,
HIMU3,Hibiscus mutabilis,Dixie rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPE3,Hibiscus pernambucensis,seaside mahoe,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPH,Hibiscus phoeniceus,Brazilian rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPO,Hibiscus poeppigii,Poeppig's rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIRA,Hibiscus radiatus,monarch rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIRO3,Hibiscus rosa-sinensis,shoeblackplant,,,,,,,,,,,,,,,,,,,,,,,,,,
HISA2,Hibiscus sabdariffa,roselle,,,,,,,,,,,,,,,,,,,,,,,,,,
HISC3,Hibiscus schizopetalus,fringed rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST,Hibiscus striatus,striped rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HISTL2,Hibiscus striatus ssp. lambertianus,striped rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HISY,Hibiscus syriacus,rose of Sharon,,,,,,,,,,,,,,,,,,,,,,,,,,
HITI,Hibiscus tiliaceus,sea hibiscus,,,,,,,,,,,,,,,,,,,,,,,,,,
HITR4,Hibiscus trilobus,threelobe rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HITR,Hibiscus trionum,flower of an hour,,,,,,,,,,,,,,,,,,,,,,,,,,
HIVI,Hibiscus vitifolius,tropical rose mallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIWA,Hibiscus waimeae,white Kauai rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIWAH,Hibiscus waimeae ssp. hannerae,white Kauai rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIWAW,Hibiscus waimeae ssp. waimeae,white Kauai rosemallow,,,,,,,,,,,,,,,,,,,,,,,,,,
HIERA,Hieracium,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAL2,Hieracium albiflorum,white hawkweed,Spring and Summer,Moderate,,3,Moderate,None,Erect,None,High,Low,6.5,7.8,,,10,30,12,None,Intermediate,-33,Late Spring,Summer,Summer,No,No,
HIAL4,Hieracium ×alleghaniense,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAL6,Hieracium alpinum,alpine hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAR2,Hieracium argutum,southern hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAT,Hieracium ×atramentarium,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAT2,Hieracium atratum,polar hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIAU,Hieracium aurantiacum,orange hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBO,Hieracium bolanderi,Bolander's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIBR3,Hieracium ×brachiatum,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HICA10,Hieracium caespitosum,meadow hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HICA3,Hieracium canadense,Canadian hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HICAC,Hieracium canadense var. canadense,Canadian hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HICA4,Hieracium carneum,Huachuca hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HICY,Hieracium cynoglossoides,houndstongue hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFA2,Hieracium ×fassettii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFAF,Hieracium ×fassettii var. fassettii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFAM,Hieracium ×fassettii var. mendicum,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFAW,Hieracium ×fassettii var. wisconsinense,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFE,Hieracium fendleri,yellow hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFED,Hieracium fendleri var. discolor,yellow hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFEF,Hieracium fendleri var. fendleri,yellow hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFEM,Hieracium fendleri var. mogollense,Mogollon hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFE2,Hieracium ×fernaldii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFL2,Hieracium ×flagellare,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFLC,Hieracium ×flagellare var. cernuiforme,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFLF,Hieracium ×flagellare var. flagellare,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFLG3,Hieracium ×flagellare var. glatzense,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFL3,Hieracium ×floribundum,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIFU2,Hieracium ×fuscatrum,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGL3,Hieracium glomeratum,queen-devil hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR,Hieracium gracile,slender hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRA,Hieracium gracile var. alaskanum,Alaska hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRD,Hieracium gracile var. detonsum,low alpine hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRG,Hieracium gracile var. gracile,slender hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRY,Hieracium gracile var. yukonense,Yukon hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR2,Hieracium greenei,Greene's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR5,Hieracium greenii,Maryland hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR7,Hieracium ×grohii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRF2,Hieracium ×grohii var. farwellii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGRG2,Hieracium ×grohii var. grohii,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGR3,Hieracium gronovii,queendevil,,,,,,,,,,,,,,,,,,,,,,,,,,
HIHO,Hieracium horridum,prickly hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKA2,Hieracium kalmii,Kalm's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAF,Hieracium kalmii var. fasciculatum,Canadian hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAK2,Hieracium kalmii var. kalmii,Kalm's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIKAS2,Hieracium kalmii var. subintegrum,Kalm's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILA8,Hieracium lachenalii,common hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILA10,Hieracium lactucella,European hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILA4,Hieracium laevigatum,smooth hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILE2,Hieracium lemmonii,Lemmon's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILO,Hieracium longiberbe,longbeard hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HILO2,Hieracium longipilum,hairy hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMA3,Hieracium maculatum,spotted hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMA10,Hieracium marianum,Maryland hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIME,Hieracium megacephalon,coastal plain hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIMU,Hieracium murorum,wall hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPA2,Hieracium paniculatum,Allegheny hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPI,Hieracium pilosella,mouseear hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPIN,Hieracium pilosella var. niveum,mouseear hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPIP,Hieracium pilosella var. pilosella,mouseear hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPI2,Hieracium piloselloides,tall hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPR3,Hieracium praealtum,kingdevil,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPRD,Hieracium praealtum var. decipiens,kingdevil,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPRP2,Hieracium praealtum var. praealtum,kingdevil,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPR7,Hieracium prenanthoides,hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIPR2,Hieracium pringlei,Pringle's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIRO4,Hieracium robinsonii,Robinson's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HIRU,Hieracium rusbyi,Rusby's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISA4,Hieracium sabaudum,New England hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISC,Hieracium scabrum,rough hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISCI,Hieracium scabrum var. intonsum,rough hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISCS,Hieracium scabrum var. scabrum,rough hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISCT,Hieracium scabrum var. tonsum,rough hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISC10,Hieracium schultzii,roughstem hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISC2,Hieracium scouleri,Scouler's woollyweed,Spring and Summer,Moderate,,2,Moderate,None,Erect,None,High,Medium,6.5,7.8,,,14,30,12,Low,Intolerant,-33,Late Spring,Summer,Summer,No,No,Low
HISCA,Hieracium scouleri var. albertinum,Scouler's woollyweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISCN,Hieracium scouleri var. nudicaule,Scouler's woollyweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISCS2,Hieracium scouleri var. scouleri,Scouler's woollyweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HISC11,Hieracium scribneri,Scribner's hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
HITR6,Hieracium tridentatum,threetooth hawkweed,,,,,,,,,,,,,,,,,,,,,,,,,,
